,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext
224.0,Poynt,In Nomine I,29,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,A,CT,1.0,4.0,F3,m3,P5,0.49122807017543857,24.0,56.0
280.0,Poynt,In Nomine I,36,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,4.0,B-3,m6,P8,0.6140350877192983,56.0,56.0
336.0,Poynt,In Nomine I,43,1.0,T-2c-2,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,3.0,G3,P4,,0.7368421052631579,56.0,66.0
402.0,Poynt,In Nomine I,51,2.0,C2t2,^C(2|4)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,0.0,4.0,D3,P1,m7,0.881578947368421,66.0,16.0
418.0,Poynt,In Nomine I,53,2.0,C2t2,^C(2|4)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,0.0,4.0,B-2,-M3,P5,0.9166666666666666,16.0,6.0
424.0,Poynt,In Nomine I,54,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,A,CT,1.0,4.0,A2,-P4,P5,0.9298245614035088,6.0,40.0
36.0,Christopher Tye,In Nomine,5,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G2,-P5,P4,0.1,36.0,68.0
104.0,Christopher Tye,In Nomine,14,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,CTB,1.0,4.0,F2,-M6,m3,0.28888888888888886,68.0,24.0
128.0,Christopher Tye,In Nomine,17,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,3.0,D3,P1,P8,0.35555555555555557,24.0,80.0
208.0,Christopher Tye,In Nomine,27,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F2,-M6,m3,0.5777777777777777,80.0,24.0
232.0,Christopher Tye,In Nomine,30,1.0,BC1,^BC(1|3)x?z?$,Authentic,A,CTB,1.0,4.0,A2,-P4,P5,0.6444444444444445,24.0,16.0
248.0,Christopher Tye,In Nomine,32,1.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,Ct,1.0,4.0,F3,m3,P8,0.6888888888888889,16.0,16.0
264.0,Christopher Tye,In Nomine,34,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CtT,1.0,4.0,F3,m3,m3,0.7333333333333333,16.0,8.0
272.0,Christopher Tye,In Nomine,35,1.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,D,zC,1.0,3.0,D3,P1,P8,0.7555555555555555,8.0,86.0
358.0,Christopher Tye,In Nomine,45,4.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,4.0,G2,-P5,P4,0.9944444444444445,86.0,10.0
88.0,John Taverner,In Nomine,12,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F2,-M2,m7,0.19642857142857142,88.0,16.0
104.0,John Taverner,In Nomine,14,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CzB,1.0,3.0,D3,P5,P5,0.23214285714285715,16.0,56.0
160.0,John Taverner,In Nomine,21,1.0,C3T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,4.0,C3,P4,P4,0.35714285714285715,56.0,16.0
176.0,John Taverner,In Nomine,23,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,3.0,D3,P5,P5,0.39285714285714285,16.0,64.0
240.0,John Taverner,In Nomine,31,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F2,-M2,m7,0.5357142857142857,64.0,32.0
272.0,John Taverner,In Nomine,35,1.0,C1b,^C(1|3)b$,Evaded Authentic,D,Czb,1.0,3.0,B-3,m10,P5,0.6071428571428571,32.0,24.0
296.0,John Taverner,In Nomine,38,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,3.0,D3,P5,P5,0.6607142857142857,24.0,96.0
392.0,John Taverner,In Nomine,50,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,3.0,D3,P5,P5,0.875,96.0,16.0
408.0,John Taverner,In Nomine,52,1.0,C1b,^C(1|3)b$,Evaded Authentic,D,CTb,1.0,4.0,B-2,m3,P5,0.9107142857142857,16.0,16.0
424.0,John Taverner,In Nomine,54,1.0,C3T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G2,P1,P8,0.9464285714285714,16.0,14.0
438.0,John Taverner,In Nomine,55,4.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,G,CT,0.0,4.0,G2,P1,P8,0.9776785714285714,14.0,18.0
28.0,John Ward,In Nomine I,4,3.0,BC1,^BC(1|3)x?z?$,Authentic,B-,CB,1.0,4.0,B-2,-M3,m6,0.06363636363636363,28.0,28.0
56.0,John Ward,In Nomine I,8,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,tCB,1.0,4.0,F2,-M6,m3,0.12727272727272726,28.0,40.0
96.0,John Ward,In Nomine I,13,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,tCB,1.0,4.0,D3,P1,P8,0.21818181818181817,40.0,50.0
146.0,John Ward,In Nomine I,19,2.0,Bc4,^Bc(-1|-2|4|5)z?$,Evaded Authentic,,cTB,-1.0,4.0,D3,P1,,0.33181818181818185,50.0,34.0
180.0,John Ward,In Nomine I,23,3.0,A1T-2,^A(1|3)T-2x?y?z?$,Altizans Only,C,AT,1.0,4.0,F3,m3,m7,0.4090909090909091,34.0,4.0
184.0,John Ward,In Nomine I,24,1.0,C1t1x,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tCx,1.0,3.0,D4,P8,P8,0.41818181818181815,4.0,16.0
200.0,John Ward,In Nomine I,26,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,zCB,1.0,3.0,D3,P1,P8,0.45454545454545453,16.0,44.0
244.0,John Ward,In Nomine I,31,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CQT,1.0,4.0,F3,m3,m3,0.5545454545454546,44.0,28.0
272.0,John Ward,In Nomine I,35,1.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,Ct,1.0,4.0,D3,P1,P8,0.6181818181818182,28.0,8.0
280.0,John Ward,In Nomine I,36,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,Ct,1.0,4.0,E3,M2,m7,0.6363636363636364,8.0,16.0
296.0,John Ward,In Nomine I,38,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CB,1.0,4.0,C3,-M2,m7,0.6727272727272727,16.0,16.0
312.0,John Ward,In Nomine I,40,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CtB,1.0,4.0,C3,-M2,m7,0.7090909090909091,16.0,8.0
320.0,John Ward,In Nomine I,41,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,F3,m3,P8,0.7272727272727273,8.0,4.0
324.0,John Ward,In Nomine I,41,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,zCB,1.0,3.0,D3,P1,P8,0.7363636363636363,4.0,6.0
330.0,John Ward,In Nomine I,42,2.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,B-,zC,1.0,3.0,B-2,-M3,m6,0.75,6.0,11.0
341.0,John Ward,In Nomine I,43,3.5,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,TC,1.0,4.0,D3,P1,P8,0.775,11.0,3.0
344.0,John Ward,In Nomine I,44,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,F3,m3,P8,0.7818181818181819,3.0,12.0
356.0,John Ward,In Nomine I,45,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CQT,1.0,4.0,D3,P1,P8,0.8090909090909091,12.0,6.0
362.0,John Ward,In Nomine I,46,2.0,T-2y,^T-2y$,Evaded Clausula Vera,,yT,-1.0,3.0,D3,P1,,0.8227272727272728,6.0,6.0
368.0,John Ward,In Nomine I,47,1.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,B-,zC,1.0,3.0,B-2,-M3,m6,0.8363636363636363,6.0,12.0
380.0,John Ward,In Nomine I,48,3.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,B-,zC,1.0,3.0,D3,P1,m6,0.8636363636363636,12.0,6.0
386.0,John Ward,In Nomine I,49,2.0,BC1,^BC(1|3)x?z?$,Authentic,B-,CB,1.0,4.0,B-2,-M3,m6,0.8772727272727273,6.0,8.0
394.0,John Ward,In Nomine I,50,2.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,4.0,E3,M2,m7,0.8954545454545455,8.0,6.0
400.0,John Ward,In Nomine I,51,1.0,BC1,^BC(1|3)x?z?$,Authentic,B-,tCB,1.0,4.0,B-2,-M3,m6,0.9090909090909091,6.0,12.0
412.0,John Ward,In Nomine I,52,3.0,C1T-2z,^C(1|3)T-2x?z?$,Clausula Vera,D,CTz,1.0,3.0,D3,P1,P8,0.9363636363636364,12.0,3.0
415.0,John Ward,In Nomine I,52,4.5,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,4.0,G3,P4,P4,0.9431818181818182,3.0,33.0
28.0,Robert White,In Nomine IV,4,3.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,3.0,C3,-P5,P4,0.0625,28.0,52.0
80.0,Robert White,In Nomine IV,11,1.0,BC1,^BC(1|3)x?z?$,Authentic,B-,CB,1.0,4.0,B-2,-M6,m3,0.17857142857142858,52.0,64.0
144.0,Robert White,In Nomine IV,19,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G2,-P8,P8,0.32142857142857145,64.0,24.0
